,Year,Laureate_Id_x,Firstname_x,Lastname_x,Category,Prize_Share,Motivation,Name_key,Laureate_Id_y,Firstname_y,Lastname_y,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country
33,1906,10,J.J.,Thomson,physics,1,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",J.J. Thomson,10,J.J.,Thomson,male,1856-12-18,United Kingdom,Cheetham Hill,GB,30/08/1940,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom
34,1906,299,Santiago,Ramón y Cajal,medicine,2,"""in recognition of their work on the structure of the nervous system""",Santiago Ramón y Cajal,299,Santiago,Ramón y Cajal,male,1852-05-01,Spain,Petilla de Aragón,ES,17/10/1934,Spain,Madrid,ES,Madrid University,Madrid,Spain
35,1906,165,Henri,Moissan,chemistry,1,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him""",Henri Moissan,165,Henri,Moissan,male,1852-09-28,France,Paris,FR,20/02/1907,France,Paris,FR,Sorbonne University,Paris,France
36,1906,298,Camillo,Golgi,medicine,2,"""in recognition of their work on the structure of the nervous system""",Camillo Golgi,298,Camillo,Golgi,male,1843-07-07,Italy,Corteno,IT,21/01/1926,Italy,Pavia,IT,Pavia University,Pavia,Italy
37,1907,300,Alphonse,Laveran,medicine,1,"""in recognition of his work on the role played by protozoa in causing diseases""",Alphonse Laveran,300,Alphonse,Laveran,male,1845-06-18,France,Paris,FR,18/05/1922,France,Paris,FR,Institut Pasteur,Paris,France
38,1907,166,Eduard,Buchner,chemistry,1,"""for his biochemical researches and his discovery of cell-free fermentation""",Eduard Buchner,166,Eduard,Buchner,male,1860-05-20,Bavaria (now Germany),Munich,DE,13/08/1917,Romania,Focsani,RO,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany
39,1907,577,Rudyard,Kipling,literature,1,"""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",Rudyard Kipling,577,Rudyard,Kipling,male,1865-12-30,British India (now India),Bombay (now Mumbai),IN,18/01/1936,United Kingdom,London,GB,,,
40,1907,472,Louis,Renault,peace,2,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",Louis Renault,472,Louis,Renault,male,1843-05-21,France,Autun,FR,08/02/1918,France,Barbizon,FR,Sorbonne University,Paris,France
41,1907,471,Ernesto Teodoro,Moneta,peace,2,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",Ernesto Teodoro Moneta,471,Ernesto Teodoro,Moneta,male,1833-09-20,Austrian Empire (now Italy),Milan,IT,10/02/1918,Italy,Milan,IT,,,
42,1907,11,Albert A.,Michelson,physics,1,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",Albert A. Michelson,11,Albert A.,Michelson,male,1852-12-19,Prussia (now Poland),Strelno (now Strzelno),PL,09/05/1931,USA,Pasadena CA,US,University of Chicago,Chicago IL,USA
